image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_083_label_3.bin,10.8655,95.8573,0.526889,0.445021,2.38875,1.03699,5.1369,107.695,116.265,12.4444,103.494
image_088_label_2.bin,11.2761,94.5258,0.463135,0.439831,2.02582,0.935424,4.65996,106.705,114.334,12.4345,103.569
image_064_label_9.bin,10.7392,91.8606,0.464494,0.451499,2.54665,2.83419,4.52008,103.516,113.424,12.5036,103.951
image_048_label_3.bin,10.8934,93.2707,0.502752,0.434634,3.54453,0.937693,4.54178,105.102,114.134,12.4264,103.391
image_040_label_1.bin,10.8965,93.3095,0.459929,0.434318,3.65024,0.943042,4.51586,105.1,114.217,12.432,103.304
image_022_label_1.bin,10.9075,93.905,0.458103,0.435717,2.94559,0.953861,4.561,105.706,114.175,12.4544,103.553
image_054_label_9.bin,11.0942,92.7662,0.457749,0.434018,3.86722,0.946736,4.63044,104.752,114.204,12.4765,103.952
image_077_label_3.bin,11.069,95.8786,0.455616,0.435705,2.24042,0.928714,4.67967,107.839,115.695,12.5195,104.117
image_029_label_7.bin,10.7555,92.1392,1.94416,0.436863,2.41938,0.922301,4.57932,105.276,113.203,12.4583,103.582
image_062_label_1.bin,10.8028,92.5032,0.449517,0.432596,4.07772,0.910008,4.67761,104.188,113.86,12.4177,103.355
image_000_label_6.bin,10.9289,93.2268,0.458007,0.434877,3.34879,0.933761,4.5142,105.049,113.868,12.4665,103.546
image_079_label_7.bin,10.8014,92.203,0.460432,0.435531,4.28691,0.932306,4.51534,103.9,113.641,12.466,103.728
image_030_label_1.bin,10.8695,93.6971,0.447588,0.432258,2.06197,0.911694,4.63653,105.447,113.063,12.9131,104.057
image_082_label_9.bin,10.9318,92.8587,1.81532,0.436355,2.2258,0.9767,4.51529,106.042,113.767,12.4076,103.388
image_034_label_9.bin,10.7665,91.9596,0.461847,2.20379,2.46419,0.925591,4.51518,105.392,113.303,12.4584,103.499
image_059_label_0.bin,10.8293,92.9695,0.455876,0.457123,4.14075,0.928337,5.22984,104.712,115.017,12.4076,103.07
image_086_label_8.bin,10.8135,92.2304,0.456535,0.440368,3.91827,0.9344,4.51487,103.941,113.33,12.4654,104.132
image_008_label_4.bin,11.0986,95.3086,0.460405,0.435165,2.49222,1.05558,4.5185,107.303,115.377,12.4824,103.768
